dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds004796	P-LCR	Float64	Blood tests: platelet-large cell ratio.	68	116		%	False	20.6	53.6									Alyssa				
ds004796	participant_id	string	Participant's ID.	192	0			False			nb:ParticipantID								Alyssa				
ds004796	PDW	Float64	Blood tests: platelet distribution width (PDW).	52	116		fl	False	10.0	20.5									Alyssa				
ds004796	PICALM_rs3851179	string	Phosphatidylinositol Binding Clathrin Assembly Protein gene rs3851179.	4	0			True											Alyssa				
ds004796	platelets	Int64	Blood tests: platelets level.	59	116		K/µl	False	167	410									Alyssa				
ds004796	RDW-CV	Float64	Blood tests: red blood cell distribution width (RDW-CV).	28	116		%	False	11.8	19.0									Alyssa				
ds004796	RPM	Int64	Psychometric tests: Raven's Progressive Matrices (RPM) in standard/classic version. Total score.	21	0			False	33	60		nb:Assessment	273860007	Raven's Progressive Matrices	Synonym learning test	high	incorrect	wrong id, right label	Alyssa	273733005			
ds004796	second_phase	Int64	Information on whether a given participant took part in the second phase of the experiment.	2	0	0, 1		True	0	1									Alyssa				
ds004796	SES	Int64	Psychometric tests: Rosenberg's Self-Esteem Scale (SES). Total score.	21	0			False	17	40		nb:Assessment	273772009	Self-Esteem Scale	Routine task inventory	high	incorrect	wrong id, right-ish label	Alyssa	304766007			
ds004796	session_order	Int64	Information on whether a given participant underwent an EEG session first or a MRI/fMRI session first.	2	122	0, 1		True	0	1									Alyssa				
ds004796	sex	Int64	Sex of participants.	2	0	0, 1		True	0	1	nb:Sex								Alyssa				
ds004796	smoking_status	Int64	Health: smoking status (including nicotine electric cigarettes).	3	1	0, 1, 2		True	0	2									Alyssa				
ds004796	thyroid_diseases	Int64	Health: thyroid diseases.	4	1	0, 1, 2, 3		True	0	3									Alyssa				
ds004796	total_cholesterol	Float64	Blood tests: total cholesterol level.	74	116		mg/dl	False	117.9	284.7									Alyssa				
ds004796	triglycerides	Float64	Blood tests: triglycerides level.	76	116		mg/dl	False	43.6	307.3									Alyssa				
ds004809	age	Float64	Age of the participant at time of testing	46	4		years	False	18.0	65.0	nb:Age								Alyssa			nb:FromFloat	
ds004809	hand	string	Handedness of the participant	3	10	R, L, A		True											Alyssa				
ds004809	participant_id	string	Unique participant identifier	258	0			False			nb:ParticipantID								Alyssa				
ds004809	sex	string	Biological sex of the participant	2	0	F, M		True			nb:Sex								Alyssa				
ds004856	AgeCog_W1	Int64	Age of the participant at the wave 1 cognitive battery	67	0		years	False	21	89	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgeCog_W2	Int64	Age of the participant at the wave 2 cognitive battery	66	127		years	False	25	93	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgeCog_W3	Int64	Age of the participant at the wave 3 cognitive battery	61	249		years	False	31	97	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgeMRI_W1	Int64	Age of the participant at the wave 1 MRI scan	67	0		years	False	21	89	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgeMRI_W2	Int64	Age of the participant at the wave 2 MRI scan	67	164		years	False	25	93	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgeMRI_W3	Int64	Age of the participant at the wave 3 MRI scan	60	271		years	False	31	97	nb:Age								Alyssa			nb:FromFloat	
ds004856	AgePETAmy_W1	Int64	Age of the participant at the wave 1 amyloid PET scan	55	169		years	False	31	89	nb:Age	nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa			nb:FromFloat	
ds004856	AgePETAmy_W2	Int64	age of the participant at the wave 2 amyloid PET scan	50	284		years	False	34	93	nb:Age	nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa			nb:FromFloat	
ds004856	AgePETAmy_W3	Int64	Age of the participant at the wave 3 amyloid PET scan	38	388		years	False	40	97	nb:Age	nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa			nb:FromFloat	
ds004856	AgePETTau_W2	Int64	age of the participant at the wave 2 tau PET scan	27	404		years	False	55	88	nb:Age	nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa			nb:FromFloat	
ds004856	AgePETTau_W3	Int64	Age of the participan at the wave 3 tau PET scant	53	340		years	False	34	98	nb:Age	nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa			nb:FromFloat	
ds004856	BMI_W1	Float64	Participant body mass index (BMI) at wave 1	319	8		BMI units (kg/m^2)	False	17.163	36.712									Alyssa				
ds004856	BMI_W2	Float64	Participant body mass index (BMI) at wave 2	208	208		BMI units (kg/m^2)	False	16.991	40.783									Alyssa				
ds004856	CogW1toW2	Float64	Time interval between wave 1 and wave 2 cognitive battery	113	127		years	False	2.47	5.63									Alyssa				
ds004856	CogW1toW3	Float64	Time interval between wave 1 and wave 3 cognitive battery	157	248		years	False	6.08	10.65									Alyssa				
ds004856	CogW2toW3	Float64	Time interval between wave 2 and wave 3 cognitive battery	140	256		years	False	2.86	6.3									Alyssa				
ds004856	EduComp	Int64	This is an ordinal measure of participants’ self-reported highest level of education completed	7	1	1, 2, 3, 4, 5, 6, 7		True	1	7		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa				
ds004856	EduYrsEstCap	Float64	This is a conversion of the participant's self-reported highest level of education into a capped estimated number of years it would take to reach this highest level of education: 11 maximum = Less than high school; 12 = high school; 15 maximum = some college; 16 = Bachelor's degree; 20 maximum = some graduate work; 18 = master's degree; 21 = MD/JD/PhD/Advanced degree	16	1		years	False	11.0	21.0									Alyssa				
ds004856	Ethnicity	Int64	Ethnicity that the participant self-identifies with	2	2	1, 2		True	0	1									Alyssa				
ds004856	HandednessScore	Float64	Average score of participant hand preference on the Edinburgh Handedness Inventory. Higher scores indicate preference for the right hand during various tasks (0 = Always left; 1 = Usually left; 2 = No preference; 3 = Usually right; 4 = Always right)	21	6		total score (0-4)	False	0.818	4.0							correct	no term available	Alyssa				
ds004856	Height_W1	Float64	Participant height at wave 1	30	8		inches	False	59.0	77.0									Alyssa				
ds004856	Height_W2	Float64	Participant height at wave 2	29	208		inches	False	59.0	77.0									Alyssa				
ds004856	MMSE_W1	Int64	Mini-mental state examination score at wave 1	5	1		total score (0-30)	True	26	30		nb:Assessment	273617000	Mini-mental state examination	Mini-mental state examination	high	correct		Alyssa				
ds004856	MMSE_W2	Int64	Mini-mental state examination score at wave 2	6	133		total score (0-30)	True	25	30		nb:Assessment	273617000	Mini-mental state examination	Mini-mental state examination	high	correct		Alyssa				
ds004856	MMSE_W3	Int64	Mini-mental state examination score at wave 3	7	244		total score (0-30)	True	24	30		nb:Assessment	273617000	Mini-mental state examination	Mini-mental state examination	high	correct		Alyssa				
ds004856	MRIW1toW2	Float64	Time interval between wave 1 and wave 2 MRI scan	109	164		years	False	2.51	5.58									Alyssa				
ds004856	MRIW1toW3	Float64	Time interval between wave 1 and wave 3 MRI scan	134	271		years	False	6.06	10.59									Alyssa				
ds004856	MRIW2toW3	Float64	Time interval between wave 2 and wave 3 MRI scan	122	285		years	False	2.89	6.27									Alyssa				
ds004856	participant_id	string	Subject identifier	464	0		ID	False			nb:ParticipantID								Alyssa				
ds004856	PETAmyW1toW2	Float64	Time interval between wave 1 and wave 2 amyloid PET scan	91	283		years	False	2.8	5.19		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa				
ds004856	PETAmyW1toW3	Float64	Time interval between wave 1 and wave 3 amyloid PET scan	62	387		years	False	6.0	9.77		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa				
ds004856	PETAmyW2toW3	Float64	Time interval between wave 2 and wave 3 amyloid PET scan	63	391		years	False	2.93	6.4		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not assessment	Alyssa				
ds004856	Race	Int64	Race that the participant self-identifies with	7	0	1, 2, 3, 4, 5, 6, 7		True	1	7									Alyssa				
ds004856	Sex	string	Participant’s biological sex	2	0	m, f		True			nb:Sex								Alyssa				
ds004856	Weight_W1	Int64	Participant weight at wave 1	108	8		pounds	False	99	270									Alyssa				
ds004856	Weight_W2	Float64	Participant weight at wave 2	77	208		pounds	False	99.0	260.0									Alyssa				
ds004883	Age	Int64	Age of the participant	11	0		years	False	18	58	nb:Age								Alyssa			nb:FromFloat	
ds004883	Ethnicity	string	Ethnicity of participants	2	0	Y, N		True											Alyssa				
ds004883	Gender	string	Gender of the participant	3	0	M, W, O		True			nb:Sex								Alyssa				
ds004883	participant_id	string		172	0			False			nb:ParticipantID								Alyssa				
ds004883	Race	string	Race of the participant	6	0	AIA, A, BAA, M, W		True											Alyssa				
ds004883	Sex	string	Sex of the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds004883	StudySite	string	Study site where participant was run	2	0	B, U		True											Alyssa				
ds004883	SubjectID	Int64	Subject ID	172	0			False	1004	2125	nb:ParticipantID								Alyssa				
ds004884	age_at_stroke	Int64	age of the participant at the time of their stroke	50	0		years	False	23	80									Alyssa				
ds004884	participant_id	string		245	0			False			nb:ParticipantID								Alyssa				
ds004884	race	string		2	2			True											Alyssa				
ds004884	sex	string	sex of the participant as reported by the participant	2	0	M, F		True			nb:Sex								Alyssa				
ds004884	wab_aq	Float64	WAB (Western Aphasia Battery-Revised) Aphasia Quotient	208	0		Score	False	5.0	100.0		nb:Assessment	273927008	Western Aphasia Battery	Western aphasia battery	high	correct		Alyssa	718042003			
ds004884	wab_days	Int64	Days since participants stroke that the WAB (Western Aphasia Battery-Revised) was collected	230	0		Days	False	42	8798									Alyssa				
ds004884	wab_type	string	Aphasia type from the Western Aphasia Battery	6	38	Anomic, Broca, Conduction, Global, TranscorticalMotor, Wernicke, None		True				nb:Assessment	other assessment	n/a	not found	medium	incorrect	term exists, WAB	Alyssa	718042003			
ds004889	acuteischaemicstroke	Int64	Was an acute ischemic stroke diagnosed at admission	1	399	0, 1		True	1	1									Alyssa				
ds004889	age	string	age in years at time of scan, clamped to 89	68	399		years	False			nb:Age								Alyssa				
ds004889	bmi	Float64	Body mass index.	640	459		score	False	12.23	115.56									Alyssa				
ds004889	etiology	string		5	425			True											Alyssa				
ds004889	gs_rankin_6isdeath	Int64	Rankin score at discharge	7	767		score	True	0	6		nb:Assessment	729	Rankin scale	not found	high	incorrect	wrong id, right label	Alyssa	273729003			
ds004889	nihss	Int64	NIH Stroke Score	35	399		score	False	0	35		nb:Assessment	450741000000101	National Institutes of Health stroke scale	not found	high	incorrect	wrong id, right label	Alyssa	450741005			
ds004889	participant_id	string		1505	0			False			nb:ParticipantID								Alyssa				
ds004889	priorstroke	Int64	Evidence of prior stroke	2	399	0, 1		True	0	1									Alyssa				
ds004889	race	string	race and ethnicity code from electronic health records	2	464	b, w		True											Alyssa				
ds004889	sex	string	gender of the participant as reported by the participant	2	399	F, M		True			nb:Sex								Alyssa				
ds004965	age	Int64	Age at measurement	29	0		Years	False	18	65	nb:Age								Alyssa			nb:FromFloat	
ds004965	participant_id	string	Unique participant identifier	133	0			False			nb:ParticipantID								Alyssa				
ds004965	sex	string	Sex	2	0	M, F		True			nb:Sex								Alyssa				
ds005016	group	string		2	57			True			nb:Diagnosis								Alyssa				
ds005016	participant_id	string		147	0			False			nb:ParticipantID								Alyssa				
ds005016	sex	string		2	1			True			nb:Sex								Alyssa				
ds005112	age	Int64	Age of the participant.	36	0		year	False	8	55	nb:Age								Alyssa			nb:FromFloat	
ds005112	handedness	string	Handedness of the participant as reported by the participant.	3	46	l, r, a		True											Alyssa				
ds005112	participant_id	string	Unique identifier of the participant.	135	0			False			nb:ParticipantID								Alyssa				
ds005112	sex	string	Sex of the participant as reported by the participant.	2	0	M, F		True			nb:Sex								Alyssa				
ds005143	age	string	yy	2	45			True			nb:Age								Alyssa				TRUE
ds005143	institution	string	InstitutionName	8	0			True											Alyssa				
ds005143	institution_id	string	InstitutionId	8	0			True											Alyssa				
ds005143	manufacturer	string	ManufacturerName	2	0			True											Alyssa				
ds005143	manufacturers_model_name	string	ManufacturersModelName	4	0			True											Alyssa				
ds005143	moco_software	string	Software used for motion-correction of the fMRI data	4	0	SCT, FSL, SPM, AFNI		True											Alyssa				
ds005143	participant_id	string	Unique ID	397	0			False			nb:ParticipantID								Alyssa				
ds005143	pathology	string	The diagnosis of pathology of the participant	4	0	HC, DCM, FM		True											Alyssa				
ds005143	researcher	string	Researcher	12	0			False											Alyssa				
ds005143	segmentation_type	string	Type of binary spinal cord segmentation	2	0	Manual, Automated		True											Alyssa				
ds005143	sex	Int64	M or F	49	0			True	18	76	nb:Sex								Alyssa				TRUE
ds005166	age	Float64	Age in years.	141	0			False	8.25	20.22	nb:Age								Alyssa			nb:FromFloat	
ds005166	AS	Int64	Does the participant have trial-level behavioral task data for the anti-saccade (AS) task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	no term available	Alyssa				
ds005166	AXCPT	Int64	Does the participant have trial-level behavioral task data for the AX-CPT task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	no term available	Alyssa				
ds005166	CALM_IT	Int64	Does the participant have scored behavioral data for the CALM-IT task?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	no term available	Alyssa				
ds005166	clinical_scores	Int64	Does the participant have clinical measures data?	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	correct	no term available	Alyssa				
ds005166	ethnicity	Float64	1.  Do you consider yourself to be Hispanic or Latino? (See definition below.)  Select one	3	1	0, 1, 2		True	0.0	2.0									Alyssa				
